actor_id,actor_name
0,Sam Worthington
1,Zoe Saldana
2,Sigourney Weaver
3,Stephen Lang
4,Michelle Rodriguez
5,Giovanni Ribisi
6,Joel David Moore
7,CCH Pounder
8,Wes Studi
9,Laz Alonso
10,Dileep Rao
11,Matt Gerald
12,Sean Anthony Moran
13,Jason Whyte
14,Scott Lawrence
15,Kelly Kilgour
16,James Patrick Pitt
17,Sean Patrick Murphy
18,Peter Dillon
19,Kevin Dorman
20,Kelson Henderson
21,David Van Horn
22,Jacob Tomuri
23,Michael Blain-Rozgay
24,Jon Curry
25,Luke Hawker
26,Woody Schultz
27,Peter Mensah
28,Sonia Yee
29,Jahnel Curfman
30,Ilram Choi
31,Kyla Warren
32,Lisa Roumain
33,Debra Wilson
34,Chris Mala
35,Taylor Kibby
36,Jodie Landau
37,Julie Lamm
38,Cullen B. Madden
39,Joseph Brady Madden
40,Frankie Torres
41,Austin Wilson
42,Sara Wilson
43,Tamica Washington-Miller
44,Lucy Briant
45,Nathan Meister
46,Gerry Blair
47,Matthew Chamberlain
48,Paul Yates
49,Wray Wilson
50,James Gaylyn
51,Melvin Leno Clark III
52,Carvon Futrell
53,Brandon Jelkes
54,Micah Moch
55,Hanniyah Muhammad
56,Christopher Nolen
57,Christa Oliver
58,April Marie Thomas
59,Bravita A. Threatt
60,Colin Bleasdale
61,Mike Bodnar
62,Matt Clayton
63,Nicole Dionne
64,Jamie Harrison
65,Allan Henry
66,Anthony Ingruber
67,Ashley Jeffery
68,Dean Knowsley
69,Joseph Mika-Hunt
70,Terry Notary
71,Kai Pantano
72,Logan Pithyou
73,Stuart Pollock
74,Raja
75,Gareth Ruck
76,Rhian Sheehan
77,T. J. Storm
78,Jodie Taylor
79,Alicia Vela-Bailey
80,Richard Whiteside
81,Nikie Zambo
82,Julene Renee
83,Johnny Depp
84,Orlando Bloom
85,Keira Knightley
86,Stellan Skarsgård
87,Chow Yun-fat
88,Bill Nighy
89,Geoffrey Rush
90,Jack Davenport
91,Kevin McNally
92,Tom Hollander
93,Naomie Harris
94,Jonathan Pryce
95,Keith Richards
96,Lee Arenberg
97,Mackenzie Crook
98,Greg Ellis
99,David Bailie
100,Martin Klebba
101,David Schofield
102,Lauren Maher
103,Vanessa Branch
104,Angus Barnett
105,Giles New
106,Reggie Lee
107,Dominic Scott Kay
108,Takayo Fischer
109,David Meunier
110,Ho-Kwan Tse
111,Andy Beckwith
112,Peter Donald Badalamenti II
113,Christopher S. Capp
114,Hakeem Kae-Kazim
115,Ghassan Massoud
116,Daniel Craig
117,Christoph Waltz
118,Léa Seydoux
119,Ralph Fiennes
120,Monica Bellucci
121,Ben Whishaw
122,Dave Bautista
123,Andrew Scott
124,Rory Kinnear
125,Jesper Christensen
126,Alessandro Cremona
127,Stephanie Sigman
128,Tenoch Huerta
129,Adriana Paz
130,Domenico Fortunato
131,Marco Zingaro
132,Stefano Elfi DiClaudia
133,Ian Bonar
134,Tam Williams
135,Richard Banham
136,Pip Carter
137,Simon Lenagan
138,Alessandro Bressanello
139,Marc Zinga
140,Brigitte Millar
141,Adel Bencherif
142,Gediminas Adomaitis
143,Peppe Lanzetta
144,Francesco Arca
145,Matteo Taranto
146,Emilio Aniba
147,Benito Sagredo
148,Dai Tabuchi
149,George Lasha
150,Sargon Yelda
151,Andy Cheung
152,Erick Hayden
153,Oleg Mirochnikov
154,Antonio Salines
155,Miloud Mourad Benamara
156,Gido Schimanski
157,Nigel Barber
158,Patrice Naiambana
159,Stephane Cornicard
160,Gary Fannin
161,Sadao Ueda
162,Phillip Law
163,Wai Wong
164,Joseph Balderrama
165,Eiji Mihara
166,Junichi Kajioka
167,Victor Schefé
168,Harald Windisch
169,Tristan Matthiae
170,Detlef Bothe
171,Bodo Friesecke
172,Wilhem Iben
173,Noemi Krausz
174,Noah Saavedra
175,Francis Attakpah
176,Michael Glantschnig
177,Marlon Boess
178,Marie Wohlmuth
179,Lili Epply
180,Konstantin Gerlach
181,Lara Parmiani
182,Umit Ulgen
183,Amra Mallassi
184,Ziad Abaza
185,Walid Mumuni
186,Derek Horsham
187,Nari Blair-Mangat
188,Michael White
189,Adam McGrady
190,Nader Dernaika
191,Pezhmaan Alinia
192,Judi Dench
193,Neve Gachev
194,Karl Farrer
195,Kim Adis
196,Maurisa Selene Coleman
197,Matija Mondi Matović
198,Christian Bale
199,Michael Caine
200,Gary Oldman
201,Anne Hathaway
202,Tom Hardy
203,Marion Cotillard
204,Joseph Gordon-Levitt
205,Morgan Freeman
206,Cillian Murphy
207,Juno Temple
208,Liam Neeson
209,Matthew Modine
210,Alon Aboutboul
211,Ben Mendelsohn
212,Nestor Carbonell
213,Josh Pence
214,Tom Conti
215,Joey King
216,Warren Brown
217,Daniel Sunjata
218,Sam Kennard
219,Aliash Tepina
220,Nick Julian
221,Miranda Nolan
222,Claire Julien
223,Aidan Gillen
224,Burn Gorman
225,Brett Cullen
226,Joseph Lyle Taylor
227,Chris Ellis
228,Duane Henry
229,James Harvey Ward
230,Gonzalo Menendez
231,Cameron Jack
232,Lex Daniel
233,Tyler Dean Flores
234,Thomas Lennon
235,Trevor White
236,Rob Brown
237,Fredric Lehne
238,Courtney Munch
239,Chris Hill
240,Travis Guba
241,Jay Benedict
242,Will Estes
243,David Dayan Fisher
244,Glen Powell
245,Russ Fega
246,Andres Perez-Molina
247,Brent Briscoe
248,John Nolan
249,Oliver Cotton
250,Mark Killeen
251,Sarah Goldberg
252,John MacMillan
253,Robert Wisdom
254,Ronnie Gene Blevins
255,John Hollingworth
256,Ian Bohen
257,Uri Gavriel
258,Noel Gugliemi
259,Hector Atreyu Ruiz
260,Patrick Cox
261,Aramis Knight
262,Josh Stewart
263,William Devane
264,David Gyasi
265,Patrick Jordan
266,Joshua Elijah Reese
267,Desmond Harrington
268,Mychael Bates
269,Tomas Arana
270,Peter Holden
271,David Monahan
272,Jillian Armenante
273,Aja Evans
274,Aldous Davidson
275,Wade Williams
276,Jake Canuso
277,Massi Furlan
278,Christopher Judge
279,Patrick Leahy
280,Todd Gearhart
281,Marc Abbink
282,Isiah Adams
283,Charlie Alejandro
284,Robert Arensen
285,Grant Babbitt
286,Fileena Bahris
287,Rick Bolander
288,Kyle Patrick Brennan
289,Scott Churchson
290,Bill Cowher
291,Graham Curry
292,Stephanie Domini Ehlert
293,John Farrer
294,Frank Fata
295,Christopher Bryan Gomez
296,Vito Grassi
297,Michael Wren Gucciardo
298,Sam Harris
299,Ed Heavey
300,John W. Iwanonkiw
301,Cindy Jackson
302,Daniel Jordano
303,William Kania
304,Tiffany Kemp
305,Sun Jae Kim
306,Hrvoje Klecz
307,Alex Kruz
308,Tyler La Marr
309,LeJon
310,Paul Jude Letersky
311,Joe Lipari
312,Silvia Lombardo
313,Jorge Mardel
314,Cale McConnell
315,David Dale McCue
316,Tiffany Sander McKenzie
317,Allen Merritt
318,Olan Montgomery
319,Alex Moore
320,Shane Nolan
321,Jackson Nunn
322,Joseph O'Brien
323,Michael Papajohn
324,Salomon Passariello
325,Kyle David Pierce
326,Troy Polamalu
327,Michael Power
328,James Rawlings
329,Kirsten Roeters
330,Ben Roethlisberger
331,Mark Roman
332,Anthony J. Sacco
333,Eric Salazar
334,Emily Schooley
335,Thomas Tull
336,Chris Vaina
337,Vincent van Ommen
338,Michelle Vezzani
339,Barbara Vincent
340,Justin Michael Woods
341,Jason Yee
342,Maria Zambrana
343,John Zion
344,Alex Ziwak
345,Tommy Bayiokos
346,Matthew Gooley
347,Jeff Moffitt
348,Mark Falvo
349,Diogo Hausen
350,Gary Sievers
351,Orion McCabe
352,London May
353,James Quinn
354,Daniel Newman
355,Taylor Kitsch
356,Lynn Collins
357,Samantha Morton
358,Willem Dafoe
359,Thomas Haden Church
360,Mark Strong
361,Ciarán Hinds
362,Dominic West
363,James Purefoy
364,Bryan Cranston
365,Polly Walker
366,Daryl Sabara
367,Arkie Reece
368,Davood Ghadami
369,Pippa Nixon
370,James Embree
371,Philip Philmar
372,Emily Tierney
373,Edmund Kente
374,Nicholas Woodeson
375,Kyle Agnew
376,Don Stark
377,Josh Daugherty
378,Jared Cyr
379,Christopher Goodman
380,Amanda Clayton
381,Joseph Billingiere
382,Tobey Maguire
383,Kirsten Dunst
384,James Franco
385,Topher Grace
386,Bryce Dallas Howard
387,Rosemary Harris
388,James Cromwell
389,J.K. Simmons
390,Theresa Russell
391,Dylan Baker
392,Bill Nunn
393,Elizabeth Banks
394,Ted Raimi
395,Perla Haney-Jardine
396,Cliff Robertson
397,Elya Baskin
398,Mageina Tovah
399,Joe Manganiello
400,Stan Lee
401,Bruce Campbell
402,Christopher Young
403,Grant Curtis
404,Daniel Gillies
405,John Paxton
406,Becky Ann Baker
407,Steve Valentine
408,Hal Fishman
409,Lucy Gordon
410,Toni Wynne
411,Andre B. Blake
412,Tim Maculan
413,Marc Vann
414,Joe Bays
415,Gregg Daniel
416,Rogelio T. Ramos
417,Timothy Patrick Quill
418,Kathryn Bryding
419,Joe Virzi
420,Bill E. Rogers
421,Michael Alexander
422,April Parker-Jones
423,Edward Padilla
424,Robert Curtis Brown
425,Paul Terrell Clayton
426,Carolyn Neff
427,Christina Cindrich
428,Sonya Maddox
429,Derrick 'Phoenix' Thomas
430,Jessi Collins
431,Michael McLaughlin
432,Anne Gartlan
433,Emilio Rivera
434,Keith Woulard
435,Reynaldo Gallegos
436,Jim Coope
437,Dean Edwards
438,Margaret Laney
439,Aimee Miles
440,Tanya Bond
441,Mark Kubr
442,Tony Besson
443,Ramon Adams
444,A.J. Adelman
445,Angelis Alexandris
446,Dawn Marie Anderson
447,Frank Anello
448,Anya Avaeva
449,David Backus
450,Tiffany L. Baker
451,Marc C. Cancassi
452,Sujeilee Candele
453,Michael Ciesla
454,Irina Costa
455,John Crann
456,Crystal Marie Denha
457,Amy V. Dewhurst
458,Paul Edney
459,Natalie Fabry
